"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__shrinking","param_model__probability","param_model__kernel","param_model__gamma","param_model__coef0","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"20",19,0.0357312679290771,0.00355546587385322,0.0107932090759277,0.00467641520080673,"MinMaxScaler","SimpleImputer","OneHotEncoder","False","False","linear","auto",9,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 9, 'model__C': 1, 'model': SVC(C=11, coef0=4)}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,1,0.966666666666667,0.0210818510677892,7
"21",20,0.0303323745727539,0.00724526141257293,0.0130777835845947,0.00538104263768755,"StandardScaler","SimpleImputer","OrdinalEncoder","True","False","linear","scale",5,31,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 5, 'model__C': 31, 'model': SVC(C=11, coef0=4)}",1,1,0.9,0.9,1,0.96,0.0489897948556636,14
"22",21,0.0282379627227783,0.00695979966633374,0.0116661548614502,0.00358816666635486,"StandardScaler","SimpleImputer","OneHotEncoder","True","False","linear","auto",7,1,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 7, 'model__C': 1, 'model': SVC(C=11, coef0=4)}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,2
"23",22,0.0296834468841553,0.0102933454870945,0.00642485618591309,0.000286305569914794,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","True","rbf","auto",7,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 7, 'model__C': 41, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"24",23,0.0258257389068604,0.00391786106539857,0.0152576923370361,0.00105247859636205,"StandardScaler","KNNImputer","OneHotEncoder","True","False","rbf","auto",7,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 7, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,2
"25",24,0.0315244197845459,0.00428502339393218,0.0143604278564453,0.00290605569636763,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","True","rbf","auto",6,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 6, 'model__C': 31, 'model': SVC(C=11, coef0=4)}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,2
"26",25,0.0208831310272217,0.00781306897866585,0.00782308578491211,0.00362547907525577,"StandardScaler","KNNImputer","OneHotEncoder","False","False","poly","auto",8,31,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 8, 'model__C': 31, 'model': SVC(C=11, coef0=4)}",0.966666666666667,0.933333333333333,0.9,0.933333333333333,1,0.946666666666667,0.0339934634239519,29
"27",26,0.0156821727752686,0.00637339349350583,0.00761208534240723,0.00311788217002887,"MinMaxScaler","KNNImputer","OrdinalEncoder","False","False","linear","scale",3,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 3, 'model__C': 21, 'model': SVC(C=11, coef0=4)}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,14
"28",27,0.0226427555084229,0.00683651733447235,0.0144638538360596,0.00413923365117876,"MinMaxScaler","SimpleImputer","OrdinalEncoder","True","False","rbf","scale",4,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 4, 'model__C': 11, 'model': SVC(C=11, coef0=4)}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"29",28,0.0325010299682617,0.00211263049981767,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","True","False","precomputed","scale",2,11,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 2, 'model__C': 11, 'model': SVC(C=11, coef0=4)}",NA,NA,NA,NA,NA,NA,NA,45
