"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__learning_rate","param_model__hidden_layer_sizes","param_model__activation","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"39",38,0.134498691558838,0.0351455061709214,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","sgd","adaptive","(200,)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (200,), 'model__activation': 'relu', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,27
"40",39,34.7338674545288,8.58344603779051,0.0641157150268555,0.0266364087141786,"StandardScaler","KNNImputer","OneHotEncoder","lbfgs","constant","(560, 4)","relu","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (560, 4), 'model__activation': 'relu', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.737430167597765,0.780898876404494,0.837078651685393,0.814606741573034,0.792134831460674,0.792429853744272,0.0335956707452882,15
"41",40,0.160329484939575,0.0374607555943104,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","lbfgs","invscaling","(560, 4)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (560, 4), 'model__activation': 'relu', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,28
"42",41,0.16880841255188,0.0474754474619722,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","sgd","constant","(250,)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (250,), 'model__activation': 'identity', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,26
"43",42,0.220128536224365,0.0614697505373573,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","adam","invscaling","(100,)","tanh","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (100,), 'model__activation': 'tanh', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,30
"44",43,3.66978259086609,0.323784841506431,0.0693133354187012,0.0286303682193423,"MinMaxScaler","SimpleImputer","OneHotEncoder","lbfgs","adaptive","(80, 80)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (80, 80), 'model__activation': 'identity', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.826815642458101,0.775280898876405,0.831460674157303,0.831460674157303,0.825842696629214,0.818172117255665,0.0215702406985394,5
"45",44,7.42871322631836,1.20801198199752,0.0910349845886231,0.0153553828145106,"StandardScaler","KNNImputer","OneHotEncoder","sgd","adaptive","(80, 80)","logistic","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (80, 80), 'model__activation': 'logistic', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.614525139664804,0.617977528089888,0.617977528089888,0.617977528089888,0.612359550561798,0.616163454899253,0.00232492363912771,19
"46",45,12.3644693374634,2.68013750759386,0.0642777919769287,0.0276256842879186,"StandardScaler","KNNImputer","OneHotEncoder","sgd","constant","(150,)","tanh","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (150,), 'model__activation': 'tanh', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",0.754189944134078,0.769662921348315,0.786516853932584,0.758426966292135,0.853932584269663,0.784545853995355,0.0364515635369674,16
"47",46,0.160820531845093,0.0423194725638528,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","sgd","constant","(100, 100)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (100, 100), 'model__activation': 'relu', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,31
"48",47,0.247893953323364,0.0591533270212455,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","lbfgs","constant","(20,)","logistic","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (20,), 'model__activation': 'logistic', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,29
"49",48,0.188498640060425,0.0484803628048788,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","sgd","constant","(100, 150)","logistic","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (100, 150), 'model__activation': 'logistic', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,38
"50",49,0.150454616546631,0.05068734433574,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","sgd","adaptive","(200,)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (200,), 'model__activation': 'relu', 'model': MLPClassifier(hidden_layer_sizes=(200,), learning_rate='invscaling',
              max_iter=100, solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,50
