"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__shrinking","param_model__probability","param_model__kernel","param_model__gamma","param_model__coef0","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"37",36,0.159766435623169,0.0398300648178297,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","True","False","linear","scale",8,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'linear', 'model__gamma': 'scale', 'model__coef0': 8, 'model__C': 11, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,32
"38",37,0.653689432144165,0.092504572860749,0.0472452640533447,0.0145412580289327,"StandardScaler","SimpleImputer","OneHotEncoder","True","True","poly","scale",1,31,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 31, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.837988826815642,0.792134831460674,0.848314606741573,0.808988764044944,0.831460674157303,0.823777540644027,0.0204109174985817,8
"39",38,0.659368276596069,0.0741814099645883,0.0572640419006348,0.0118171126553379,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","True","poly","scale",5,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__coef0': 5, 'model__C': 1, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.865921787709497,0.825842696629214,0.853932584269663,0.831460674157303,0.848314606741573,0.84509446990145,0.0146885661277801,1
"40",39,0.131425380706787,0.0323081623982147,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","False","poly","scale",7,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__coef0': 7, 'model__C': 11, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,25
"41",40,0.147896146774292,0.0333030199926915,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","True","False","poly","auto",5,1,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'poly', 'model__gamma': 'auto', 'model__coef0': 5, 'model__C': 1, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,33
"42",41,0.16187539100647,0.0343554431439487,0,0,"MinMaxScaler","KNNImputer","OneHotEncoder","False","True","precomputed","auto",4,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'precomputed', 'model__gamma': 'auto', 'model__coef0': 4, 'model__C': 41, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,34
"43",42,0.623359537124634,0.0703011153736838,0.0475139141082764,0.0163381514725541,"StandardScaler","SimpleImputer","OneHotEncoder","True","True","poly","scale",2,11,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__coef0': 2, 'model__C': 11, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.854748603351955,0.803370786516854,0.853932584269663,0.820224719101124,0.837078651685393,0.833871068984998,0.0198248052667859,4
"44",43,0.168000078201294,0.0315366588989763,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","True","linear","auto",3,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 3, 'model__C': 41, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,27
"45",44,0.138901472091675,0.0275835416346351,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","True","True","rbf","auto",4,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 4, 'model__C': 41, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,28
"46",45,0.131807136535645,0.0262866018046243,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","True","True","linear","auto",7,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'linear', 'model__gamma': 'auto', 'model__coef0': 7, 'model__C': 21, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,29
"47",46,0.126432991027832,0.0237837444610415,0,0,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","True","precomputed","scale",4,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'precomputed', 'model__gamma': 'scale', 'model__coef0': 4, 'model__C': 11, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,30
"48",47,0.160398864746094,0.0422870560731109,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","False","False","sigmoid","auto",9,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'sigmoid', 'model__gamma': 'auto', 'model__coef0': 9, 'model__C': 21, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",NA,NA,NA,NA,NA,NA,NA,31
"49",48,0.747522211074829,0.0909230581664061,0.0525514602661133,0.0177521622946531,"StandardScaler","SimpleImputer","OneHotEncoder","True","True","rbf","scale",6,11,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 6, 'model__C': 11, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.82122905027933,0.797752808988764,0.837078651685393,0.820224719101124,0.831460674157303,0.821549180842383,0.0134723877636653,9
"50",49,0.584998416900635,0.164600666297355,0.0538247585296631,0.0195740933484323,"MinMaxScaler","KNNImputer","OneHotEncoder","True","True","sigmoid","scale",3,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__coef0': 3, 'model__C': 1, 'model': SVC(C=1, coef0=5, kernel='poly', probability=True)}",0.614525139664804,0.617977528089888,0.617977528089888,0.617977528089888,0.612359550561798,0.616163454899253,0.00232492363912771,18
