"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__n_estimators","param_model__max_features","param_model__criterion","param_model__bootstrap","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"30",29,1.90521478652954,0.166635327919458,0.123350143432617,0.0207097565632481,"StandardScaler","KNNImputer","OneHotEncoder",181,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 181, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.810055865921788,0.820224719101124,0.831460674157303,0.797752808988764,0.848314606741573,0.82156173498211,0.0174054171764331,5
"31",30,0.118062973022461,0.0257119493987584,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder",71,"log2","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 71, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,37
"32",31,0.147737121582031,0.0318209664080867,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder",141,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 141, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,36
"33",32,0.254374599456787,0.0647848474736755,0.0475673675537109,0.0187852671853912,"MinMaxScaler","KNNImputer","OneHotEncoder",6,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 6, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.815642458100559,0.825842696629214,0.820224719101124,0.786516853932584,0.842696629213483,0.818184671395393,0.0182918382482107,11
"34",33,1.50491676330566,0.132731029515571,0.145939111709595,0.0414068929641338,"StandardScaler","SimpleImputer","OneHotEncoder",141,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 141, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.754189944134078,0.808988764044944,0.876404494382023,0.831460674157303,0.825842696629214,0.819377314669512,0.0394898043240585,8
"35",34,0.106376838684082,0.00994279681484946,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder",181,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 181, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,49
"36",35,0.15115122795105,0.0256936616572447,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder",131,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 131, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,32
"37",36,0.178640842437744,0.0306579786133038,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder",26,"log2","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 26, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,31
"38",37,1.07958812713623,0.105590467866008,0.104013299942017,0.0300380629706712,"MinMaxScaler","SimpleImputer","OneHotEncoder",86,"sqrt","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 86, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",0.798882681564246,0.820224719101124,0.842696629213483,0.803370786516854,0.831460674157303,0.819327098110602,0.0165332539004876,9
"39",38,0.132970476150513,0.0155311427469076,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder",131,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 131, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(max_features='sqrt', n_estimators=91)}",NA,NA,NA,NA,NA,NA,NA,34
