"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__weights","param_model__n_neighbors","param_model__leaf_size","param_model__algorithm","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.0183710098266602,0.00489917515178622,0.0119557857513428,0.00404057784812907,"StandardScaler","KNNImputer","OneHotEncoder","uniform",1,246,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 1, 'model__leaf_size': 246, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.933333333333333,0.966666666666667,0.933333333333333,0.9,1,0.946666666666667,0.0339934634239519,34
"2",1,0.0154229640960693,0.00481169197884077,0.00913934707641601,0.00208803142979068,"StandardScaler","KNNImputer","OrdinalEncoder","distance",40,56,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 40, 'model__leaf_size': 56, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.9,0.933333333333333,0.966666666666667,0.933333333333333,1,0.946666666666667,0.0339934634239519,27
"3",2,0.0215095996856689,0.00647386624865569,0.015486478805542,0.00557528643770869,"StandardScaler","KNNImputer","OneHotEncoder","uniform",7,86,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 7, 'model__leaf_size': 86, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.966666666666667,0.966666666666667,0.966666666666667,0.9,1,0.96,0.032659863237109,10
"4",3,0.0251049995422363,0.0103167643548454,0.0148847103118896,0.00841705441549463,"MinMaxScaler","SimpleImputer","OneHotEncoder","uniform",4,131,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 4, 'model__leaf_size': 131, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.966666666666667,0.966666666666667,1,0.933333333333333,1,0.973333333333333,0.0249443825784929,1
"5",4,0.0246358394622803,0.00957195350268971,0.0111248970031738,0.00492420491358739,"StandardScaler","SimpleImputer","OrdinalEncoder","distance",16,291,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 16, 'model__leaf_size': 291, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,10
"6",5,0.0213353157043457,0.00540172561629667,0.0199734687805176,0.011635518626445,"MinMaxScaler","KNNImputer","OrdinalEncoder","distance",16,331,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 16, 'model__leaf_size': 331, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,1,0.966666666666667,0.0210818510677892,3
"7",6,0.0260082721710205,0.0130976590690162,0.0176814556121826,0.00891246553189503,"StandardScaler","KNNImputer","OneHotEncoder","distance",49,46,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 49, 'model__leaf_size': 46, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.9,0.933333333333333,0.966666666666667,0.933333333333333,1,0.946666666666667,0.0339934634239519,27
"8",7,0.0234316825866699,0.00632769020578555,0.0168339729309082,0.00622038337602248,"StandardScaler","KNNImputer","OrdinalEncoder","uniform",46,11,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 46, 'model__leaf_size': 11, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.833333333333333,0.933333333333333,0.866666666666667,0.9,0.9,0.886666666666667,0.0339934634239519,47
"9",8,0.0287660598754883,0.00759168677461162,0.0150097370147705,0.004786943906222,"StandardScaler","SimpleImputer","OrdinalEncoder","uniform",46,6,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 46, 'model__leaf_size': 6, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.833333333333333,0.933333333333333,0.866666666666667,0.9,0.9,0.886666666666667,0.0339934634239519,47
"10",9,0.023068380355835,0.01377639261754,0.0135324001312256,0.0081639300536819,"StandardScaler","KNNImputer","OrdinalEncoder","distance",7,336,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 7, 'model__leaf_size': 336, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=131, n_neighbors=4)}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,1,0.966666666666667,0.0210818510677892,3
