"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__multi_class","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.039375638961792,0.0100588327229515,0.0477114200592041,0.00997392345812142,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",46,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,18
"2",1,0.0821382999420166,0.0310490499777125,0.00898370742797852,0.00424983978288605,"StandardScaler","SimpleImputer","OneHotEncoder","saga","ovr",46,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 46, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,30
"3",2,0.0468119621276855,0.0150638708056585,0.00780777931213379,0.00251788598516623,"StandardScaler","SimpleImputer","OneHotEncoder","saga","multinomial",11,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 11, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"4",3,0.0428688526153564,0.00885793191563426,0.013554859161377,0.00511109568209345,"StandardScaler","KNNImputer","OneHotEncoder","saga","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.833333333333333,0.966666666666667,0.933333333333333,0.9,1,0.926666666666667,0.0573488351136175,43
"5",4,0.0451456546783447,0.0175913345446122,0.0102556705474854,0.0038418151919862,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",1,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 1, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.833333333333333,0.966666666666667,0.933333333333333,0.9,1,0.926666666666667,0.0573488351136175,43
"6",5,0.028616189956665,0.0084278171134101,0.00816903114318848,0.00484898698204639,"StandardScaler","KNNImputer","OrdinalEncoder","saga","multinomial",46,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"7",6,0.0488479137420654,0.0182829729919729,0.0123964786529541,0.00502231045361584,"MinMaxScaler","KNNImputer","OrdinalEncoder","saga","ovr",41,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 41, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.9,0.966666666666667,0.933333333333333,0.9,1,0.94,0.038873012632302,40
"8",7,0.057191801071167,0.017855760305862,0.00731253623962402,0.00275551754752746,"StandardScaler","SimpleImputer","OneHotEncoder","saga","ovr",36,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 36, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,30
"9",8,0.0471012115478516,0.0107634211171606,0.0115561962127686,0.00695705321392343,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",6,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 6, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,28
"10",9,0.0279469013214111,0.00717186560493903,0.00890188217163086,0.00548507099926036,"StandardScaler","SimpleImputer","OneHotEncoder","saga","multinomial",31,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 31, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"11",10,0.0346082210540771,0.0196440431413058,0.00821113586425781,0.00352734478183616,"StandardScaler","SimpleImputer","OneHotEncoder","saga","multinomial",36,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 36, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"12",11,0.0352080821990967,0.012869974756594,0.0120253086090088,0.0065462128678621,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",41,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,18
"13",12,0.0483580589294434,0.0129301153956323,0.0148337841033936,0.00684753747791841,"StandardScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 1, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.966666666666667,1,0.933333333333333,0.9,1,0.96,0.038873012632302,21
"14",13,0.0430790424346924,0.007899162148363,0.00737223625183106,0.0037047809799272,"StandardScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",16,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 16, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"15",14,0.0542116165161133,0.00499574400267935,0.00845713615417481,0.00417198651002317,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.9,0.966666666666667,0.933333333333333,0.9,1,0.94,0.038873012632302,40
"16",15,0.0293219089508057,0.00830571784473174,0.00751147270202637,0.00374592617336448,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",6,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 6, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,28
"17",16,0.0407346248626709,0.011606702859609,0.0100173950195312,0.00548393242236003,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",16,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 16, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.966666666666667,1,0.933333333333333,0.9,1,0.96,0.038873012632302,21
"18",17,0.0566742897033691,0.00474881993561968,0.00988879203796387,0.00476108871667507,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","ovr",16,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 16, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.833333333333333,0.966666666666667,0.933333333333333,0.9,1,0.926666666666667,0.0573488351136175,43
"19",18,0.0455678939819336,0.0139851154370477,0.010737419128418,0.00266216979877298,"StandardScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",46,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"20",19,0.0483007431030273,0.00649591168656265,0.00702900886535645,0.00326150141687991,"StandardScaler","KNNImputer","OneHotEncoder","saga","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,30
"21",20,0.0431993961334229,0.00589140083534939,0.00814809799194336,0.00555635264665607,"StandardScaler","KNNImputer","OrdinalEncoder","saga","multinomial",41,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"22",21,0.0512804508209228,0.00672032412778759,0.00794863700866699,0.00400965048695647,"StandardScaler","KNNImputer","OneHotEncoder","saga","multinomial",16,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 16, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"23",22,0.0391045093536377,0.00877502367022743,0.00850186347961426,0.00383664470507334,"StandardScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",16,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 16, 'model': LogisticRegression(C=11, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
