"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__n_estimators","param_model__max_features","param_model__criterion","param_model__bootstrap","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,1.34294004440308,0.250244588631163,0.096417760848999,0.0284535554827562,"MinMaxScaler","SimpleImputer","OneHotEncoder",66,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 66, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",0.860335195530726,0.803370786516854,0.865168539325843,0.814606741573034,0.842696629213483,0.837235578431988,0.0245053221937134,10
"2",1,0.405940914154053,0.0693633479547634,0.0871704578399658,0.0269377947083119,"StandardScaler","SimpleImputer","OneHotEncoder",6,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 6, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",0.798882681564246,0.825842696629214,0.882022471910112,0.792134831460674,0.825842696629214,0.824945075638692,0.0316708102830442,20
"3",2,0.207847499847412,0.0515626156668709,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder",96,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 96, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",NA,NA,NA,NA,NA,NA,NA,30
"4",3,0.215256261825562,0.073510945251575,0.0517868518829346,0.0232523297748764,"StandardScaler","KNNImputer","OneHotEncoder",1,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 1, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",0.715083798882682,0.797752808988764,0.803370786516854,0.719101123595506,0.820224719101124,0.771106647416986,0.0447363646940097,24
"5",4,0.149679756164551,0.0533972494205853,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder",101,"log2","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 101, 'model__max_features': 'log2', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",NA,NA,NA,NA,NA,NA,NA,50
"6",5,0.217772102355957,0.0655536516522483,0,0,"StandardScaler","KNNImputer","OrdinalEncoder",21,"sqrt","entropy","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 21, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",NA,NA,NA,NA,NA,NA,NA,43
"7",6,2.51172814369202,0.235082324703577,0.237179470062256,0.0501234015543916,"MinMaxScaler","KNNImputer","OneHotEncoder",191,"sqrt","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 191, 'model__max_features': 'sqrt', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",0.832402234636871,0.814606741573034,0.865168539325843,0.808988764044944,0.842696629213483,0.832772581758835,0.0202177628646688,16
"8",7,1.0402542591095,0.114670748841599,0.13182520866394,0.0401998504110203,"MinMaxScaler","KNNImputer","OneHotEncoder",56,"log2","gini","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 56, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': False, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",0.837988826815642,0.808988764044944,0.859550561797753,0.814606741573034,0.848314606741573,0.833889900194589,0.0193662061348665,14
"9",8,0.121032667160034,0.0248054596437703,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder",111,"log2","gini","True","RandomForestClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__n_estimators': 111, 'model__max_features': 'log2', 'model__criterion': 'gini', 'model__bootstrap': True, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",NA,NA,NA,NA,NA,NA,NA,38
"10",9,0.842009210586548,0.140446884526155,0.0790139675140381,0.0319277613469761,"MinMaxScaler","SimpleImputer","OneHotEncoder",41,"sqrt","entropy","False","RandomForestClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__n_estimators': 41, 'model__max_features': 'sqrt', 'model__criterion': 'entropy', 'model__bootstrap': False, 'model': RandomForestClassifier(bootstrap=False, criterion='entropy',
                       max_features='log2', n_estimators=46)}",0.854748603351955,0.820224719101124,0.865168539325843,0.803370786516854,0.853932584269663,0.839489046513088,0.0235650131540616,7
