"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__multi_class","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"24",23,0.307824468612671,0.0239872477974332,0.0409003257751465,0.0126624342920511,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",1,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 1, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.837988826815642,0.803370786516854,0.820224719101124,0.825842696629214,0.848314606741573,0.827148327160881,0.0153658080346048,18
"25",24,0.174067783355713,0.025639226089088,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","saga","ovr",6,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 6, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,33
"26",25,0.276919746398926,0.091879669160401,0.0439239978790283,0.0124890614031845,"MinMaxScaler","KNNImputer","OneHotEncoder","saga","multinomial",16,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 16, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.849162011173184,0.831460674157303,0.837078651685393,0.842696629213483,0.837078651685393,0.839495323582952,0.00599882328829909,5
"27",26,0.188189554214478,0.051225840358053,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",26,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,47
"28",27,0.179741811752319,0.0275512683907202,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",46,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,48
"29",28,0.172162246704102,0.0394584980633924,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","ovr",26,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,34
"30",29,0.21154670715332,0.0457665040882797,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,41
"31",30,0.45157208442688,0.127848866607997,0.0716490268707275,0.0294712646154296,"StandardScaler","KNNImputer","OneHotEncoder","saga","multinomial",26,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.843575418994413,0.825842696629214,0.831460674157303,0.831460674157303,0.820224719101124,0.830512836607872,0.00774704356381626,12
"32",31,0.372000789642334,0.0449933092584983,0.0554824829101562,0.0179993130667801,"MinMaxScaler","KNNImputer","OneHotEncoder","saga","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.854748603351955,0.831460674157303,0.837078651685393,0.848314606741573,0.837078651685393,0.841736237524324,0.00850376411001891,1
"33",32,0.171978235244751,0.0465767636800147,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","saga","multinomial",11,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 11, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,31
"34",33,0.334915018081665,0.111676591235582,0.0478212356567383,0.0150197895235909,"StandardScaler","SimpleImputer","OneHotEncoder","saga","multinomial",21,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 21, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.843575418994413,0.797752808988764,0.831460674157303,0.831460674157303,0.831460674157303,0.827142050091017,0.015425528500244,19
"35",34,0.248826503753662,0.065692785871577,0.042318868637085,0.0236747373925348,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","ovr",36,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 36, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.843575418994413,0.814606741573034,0.837078651685393,0.831460674157303,0.848314606741573,0.835007218630343,0.0116922958617063,9
"36",35,0.385834503173828,0.0901638563930624,0.0520132064819336,0.00980581563585113,"MinMaxScaler","KNNImputer","OneHotEncoder","saga","multinomial",41,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.849162011173184,0.837078651685393,0.837078651685393,0.842696629213483,0.837078651685393,0.840618919088569,0.00479378309036513,4
"37",36,0.24028491973877,0.0254395964939305,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","saga","multinomial",46,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,28
"38",37,0.302634382247925,0.0658700915456031,0.0385407447814941,0.0153280787228634,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",16,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 16, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.849162011173184,0.820224719101124,0.837078651685393,0.831460674157303,0.853932584269663,0.838371728077334,0.0121434682224689,7
"39",38,0.288331127166748,0.0910999855382351,0.0464691162109375,0.0124664075860273,"StandardScaler","SimpleImputer","OneHotEncoder","saga","multinomial",11,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 11, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.843575418994413,0.808988764044944,0.831460674157303,0.831460674157303,0.825842696629214,0.828265645596636,0.0112452160544381,16
"40",39,0.141137170791626,0.018437261861317,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,32
"41",40,0.323987054824829,0.0801032304315558,0.0375992774963379,0.0184563002298402,"MinMaxScaler","SimpleImputer","OneHotEncoder","saga","multinomial",46,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.854748603351955,0.825842696629214,0.837078651685393,0.837078651685393,0.842696629213483,0.839489046513088,0.00939133146366769,6
"42",41,0.385356998443603,0.0740354596283389,0.036794376373291,0.0138049584517066,"StandardScaler","SimpleImputer","OneHotEncoder","saga","multinomial",26,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.843575418994413,0.803370786516854,0.831460674157303,0.831460674157303,0.831460674157303,0.828265645596635,0.0133023892034773,17
"43",42,0.279002714157104,0.0925081186350848,0.0545036792755127,0.0208003398997479,"StandardScaler","SimpleImputer","OneHotEncoder","saga","ovr",6,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 6, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.837988826815642,0.797752808988764,0.825842696629214,0.820224719101124,0.825842696629214,0.821530349632791,0.0132298923244079,23
"44",43,0.305987167358398,0.0433893109523399,0.0443291664123535,0.017742344253563,"StandardScaler","SimpleImputer","OneHotEncoder","saga","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.82122905027933,0.803370786516854,0.808988764044944,0.797752808988764,0.814606741573034,0.809189630280585,0.00823398931154673,27
"45",44,0.339740037918091,0.096350660481593,0.05963134765625,0.0130043839410937,"StandardScaler","KNNImputer","OneHotEncoder","saga","multinomial",31,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 31, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.843575418994413,0.831460674157303,0.831460674157303,0.831460674157303,0.820224719101124,0.831636432113489,0.0073872765508943,11
"46",45,0.202388763427734,0.0505523972163709,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",31,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 31, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,29
"47",46,0.291995429992676,0.0461195974448143,0.0368906497955322,0.0133167057345687,"StandardScaler","SimpleImputer","OneHotEncoder","saga","ovr",6,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 6, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",0.837988826815642,0.792134831460674,0.825842696629214,0.814606741573034,0.837078651685393,0.821530349632791,0.0169897636339493,23
"48",47,0.135991716384888,0.0577050446086814,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","ovr",31,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 31, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,30
"49",48,0.19686803817749,0.038747597699859,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","saga","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,46
"50",49,0.147490501403809,0.0454928140923153,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",26,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='ovr', solver='saga')}",NA,NA,NA,NA,NA,NA,NA,50
