"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__learning_rate","param_model__hidden_layer_sizes","param_model__activation","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,20.2463575363159,7.66587647189333,0.0637306213378906,0.0213106170930304,"MinMaxScaler","SimpleImputer","OneHotEncoder","lbfgs","adaptive","(150,)","tanh","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (150,), 'model__activation': 'tanh', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",0.782122905027933,0.814606741573034,0.814606741573034,0.825842696629214,0.848314606741573,0.817098738308957,0.021385117527264,5
"2",1,0.27321081161499,0.0382213849708722,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","adam","adaptive","(150,)","logistic","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'adam', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (150,), 'model__activation': 'logistic', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,35
"3",2,0.268466281890869,0.0527750323271931,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","lbfgs","invscaling","(80, 80)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (80, 80), 'model__activation': 'relu', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,36
"4",3,24.6219122409821,4.88570350602914,0.0631458759307861,0.0287990415287305,"StandardScaler","SimpleImputer","OneHotEncoder","adam","invscaling","(560, 4)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (560, 4), 'model__activation': 'identity', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",0.82122905027933,0.786516853932584,0.803370786516854,0.808988764044944,0.825842696629214,0.809189630280585,0.0139300131373649,11
"5",4,106.71856751442,9.61085524064965,0.121504163742065,0.0692593601246982,"MinMaxScaler","SimpleImputer","OneHotEncoder","lbfgs","adaptive","(560, 50)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (560, 50), 'model__activation': 'logistic', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",0.854748603351955,0.786516853932584,0.831460674157303,0.797752808988764,0.853932584269663,0.824882304940054,0.0282386502265711,2
"6",5,0.330056047439575,0.0362231323486875,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","lbfgs","constant","(100, 150)","tanh","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (100, 150), 'model__activation': 'tanh', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,37
"7",6,12.1555681705475,5.37061460980321,0.0872570991516113,0.0388014849674105,"MinMaxScaler","KNNImputer","OneHotEncoder","lbfgs","constant","(100,)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (100,), 'model__activation': 'logistic', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",0.854748603351955,0.797752808988764,0.825842696629214,0.820224719101124,0.837078651685393,0.82712949595129,0.0188367848964257,1
"8",7,0.432352352142334,0.110510170479241,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","adam","adaptive","(640, 20)","tanh","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'adam', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (640, 20), 'model__activation': 'tanh', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,38
"9",8,23.0540719032288,18.447015628206,0.066466474533081,0.0251972426110582,"StandardScaler","KNNImputer","OneHotEncoder","sgd","invscaling","(560, 4)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (560, 4), 'model__activation': 'identity', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",0.614525139664804,0.617977528089888,0.719101123595506,0.404494382022472,0.612359550561798,0.593691544786894,0.102854723717681,24
"10",9,0.349014329910278,0.129211799144579,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","lbfgs","constant","(560, 4)","relu","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (560, 4), 'model__activation': 'relu', 'model': MLPClassifier(activation='logistic', solver='lbfgs')}",NA,NA,NA,NA,NA,NA,NA,39
