"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__weights","param_model__n_neighbors","param_model__leaf_size","param_model__algorithm","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.019011116027832,0.00641275916225698,0.0175605297088623,0.00833692824753636,"MinMaxScaler","KNNImputer","OneHotEncoder","uniform",46,51,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 46, 'model__leaf_size': 51, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.866666666666667,0.933333333333333,0.933333333333333,0.9,0.933333333333333,0.913333333333333,0.0266666666666667,18
"2",1,0.0245832443237305,0.00289785659917784,0.0196829319000244,0.0060954764205869,"MinMaxScaler","KNNImputer","OneHotEncoder","distance",19,16,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 19, 'model__leaf_size': 16, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,4
"3",2,0.0263527393341064,0.00893540680044227,0.0183836936950684,0.0031423945106313,"MinMaxScaler","KNNImputer","OrdinalEncoder","distance",28,266,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 28, 'model__leaf_size': 266, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,1,0.966666666666667,0.0210818510677892,1
"4",3,0.0243819713592529,0.00818346966452942,0.00950226783752441,0.0040014481986001,"MinMaxScaler","KNNImputer","OrdinalEncoder","distance",46,281,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 46, 'model__leaf_size': 281, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,4
"5",4,0.0262568473815918,0.0118398104636373,0.0154446601867676,0.00505029277925687,"MinMaxScaler","KNNImputer","OrdinalEncoder","distance",16,221,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 16, 'model__leaf_size': 221, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,1,0.966666666666667,0.0210818510677892,1
"6",5,0.0216938972473145,0.00425966408418495,0.0240281105041504,0.00681483475618521,"StandardScaler","KNNImputer","OneHotEncoder","uniform",25,221,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 25, 'model__leaf_size': 221, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.9,0.966666666666667,0.933333333333333,0.9,1,0.94,0.038873012632302,16
"7",6,0.022956657409668,0.00804518701369417,0.0204482555389404,0.00760435512346382,"StandardScaler","KNNImputer","OneHotEncoder","uniform",40,11,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 40, 'model__leaf_size': 11, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.866666666666667,0.933333333333333,0.8,0.866666666666667,0.9,0.873333333333333,0.0442216638714053,19
"8",7,0.0277503967285156,0.00430557593038267,0.0247174739837646,0.00313305241596007,"MinMaxScaler","SimpleImputer","OrdinalEncoder","uniform",31,291,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 31, 'model__leaf_size': 291, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.966666666666667,0.966666666666667,0.966666666666667,0.9,1,0.96,0.032659863237109,4
"9",8,0.0302494525909424,0.00938879136064487,0.0107233047485352,0.00396805905109276,"StandardScaler","SimpleImputer","OrdinalEncoder","distance",28,241,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 28, 'model__leaf_size': 241, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.9,0.966666666666667,0.966666666666667,0.933333333333333,1,0.953333333333333,0.0339934634239519,10
"10",9,0.0196080207824707,0.00731922148523699,0.00991435050964356,0.0023974754039877,"StandardScaler","KNNImputer","OneHotEncoder","distance",34,186,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 34, 'model__leaf_size': 186, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='ball_tree', leaf_size=266, n_neighbors=28,
                     weights='distance')}",0.9,0.966666666666667,0.933333333333333,0.933333333333333,1,0.946666666666667,0.0339934634239519,13
