"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__learning_rate","param_model__hidden_layer_sizes","param_model__activation","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.403793525695801,0.034345043418008,0.00681605339050293,0.00075014068525712,"MinMaxScaler","KNNImputer","OrdinalEncoder","adam","constant","(200, 5)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'adam', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (200, 5), 'model__activation': 'identity', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",0.9,0.966666666666667,0.9,0.966666666666667,0.966666666666667,0.94,0.032659863237109,12
"2",1,0.498065090179443,0.0779725438246809,0.0105247020721436,0.00662391702056272,"MinMaxScaler","KNNImputer","OrdinalEncoder","sgd","adaptive","(100, 100)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (100, 100), 'model__activation': 'relu', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",0.666666666666667,0.566666666666667,0.666666666666667,0.666666666666667,0.733333333333333,0.66,0.0533333333333333,19
"3",2,0.943074941635132,0.0755603458965598,0.00728635787963867,0.000378792709634644,"StandardScaler","KNNImputer","OneHotEncoder","adam","invscaling","(560, 50)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (560, 50), 'model__activation': 'identity', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"4",3,0.651010274887085,0.0410246997639686,0.00798816680908203,0.00151266919797276,"MinMaxScaler","SimpleImputer","OrdinalEncoder","sgd","constant","(640, 20)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (640, 20), 'model__activation': 'identity', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",0.7,0.7,0.666666666666667,0.8,0.666666666666667,0.706666666666667,0.0489897948556636,18
"5",4,0.568405771255493,0.125814661021184,0.00999188423156738,0.00291429780402703,"MinMaxScaler","KNNImputer","OneHotEncoder","lbfgs","adaptive","(200, 5)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (200, 5), 'model__activation': 'logistic', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,5
"6",5,0.215674591064453,0.0859170530823763,0.00860896110534668,0.00292922698144778,"MinMaxScaler","SimpleImputer","OneHotEncoder","lbfgs","invscaling","(560, 4)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (560, 4), 'model__activation': 'identity', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",1,1,0.933333333333333,0.9,1,0.966666666666667,0.0421637021355784,3
"7",6,0.407509088516235,0.0732760344716115,0.00901069641113281,0.00315501385633424,"MinMaxScaler","SimpleImputer","OneHotEncoder","adam","invscaling","(200,)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (200,), 'model__activation': 'logistic', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",0.766666666666667,0.833333333333333,0.7,0.833333333333333,0.9,0.806666666666667,0.0679869268479038,17
"8",7,0.24001030921936,0.0558522157356346,0.00840883255004883,0.00263675226360233,"StandardScaler","SimpleImputer","OrdinalEncoder","lbfgs","invscaling","(100,)","logistic","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (100,), 'model__activation': 'logistic', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,0.96,0.0133333333333333,5
"9",8,0.78380069732666,0.353281501253655,0.0124350070953369,0.00359759508819993,"StandardScaler","KNNImputer","OrdinalEncoder","lbfgs","invscaling","(100, 100)","tanh","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (100, 100), 'model__activation': 'tanh', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,5
"10",9,0.305055236816406,0.0498134031425562,0.0113829135894775,0.00407548439609959,"StandardScaler","KNNImputer","OneHotEncoder","sgd","adaptive","(250,)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (250,), 'model__activation': 'identity', 'model': MLPClassifier(activation='identity', hidden_layer_sizes=(560, 50),
              learning_rate='invscaling', max_iter=100)}",0.766666666666667,0.833333333333333,0.766666666666667,0.9,0.966666666666667,0.846666666666667,0.077746025264604,16
