,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__num__scaler,param_preprocessor__num__imputer,param_preprocessor__cat__encoder,param_model__solver,param_model__multi_class,param_model__C,param_model,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36,0.05079383850097656,0.007846801572418788,0.016567230224609375,0.007439131625498899,StandardScaler(),SimpleImputer(),OneHotEncoder(handle_unknown='ignore'),saga,multinomial,16,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 16, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9733333333333334,0.03265986323710903,1
37,0.04706792831420899,0.009948489153173616,0.008524894714355469,0.001990282935078313,MinMaxScaler(),KNNImputer(n_neighbors=10),OneHotEncoder(handle_unknown='ignore'),saga,ovr,41,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 41, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9399999999999998,0.038873012632301994,35
38,0.06415004730224609,0.015761234251856805,0.012658309936523438,0.00726317502150761,MinMaxScaler(),SimpleImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,ovr,46,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 46, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9399999999999998,0.038873012632301994,35
39,0.04754824638366699,0.010964639219569408,0.013894605636596679,0.005618007762755129,MinMaxScaler(),KNNImputer(n_neighbors=10),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,multinomial,46,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9666666666666668,0.029814239699997188,12
40,0.04472990036010742,0.012945656203499328,0.009906673431396484,0.0048054417390748835,MinMaxScaler(),KNNImputer(n_neighbors=10),OneHotEncoder(handle_unknown='ignore'),saga,multinomial,41,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9666666666666668,0.029814239699997188,12
41,0.0424346923828125,0.01492857912673286,0.010613727569580077,0.0053383150303755456,MinMaxScaler(),KNNImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,ovr,41,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 41, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9399999999999998,0.038873012632301994,35
42,0.04544687271118164,0.009640251972753129,0.014501667022705078,0.0042004236787590524,StandardScaler(),SimpleImputer(),OneHotEncoder(handle_unknown='ignore'),saga,multinomial,36,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 36, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9733333333333334,0.03265986323710903,1
43,0.04564189910888672,0.01533100147844445,0.008190774917602539,0.003996494410483141,MinMaxScaler(),KNNImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,ovr,31,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 31, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9399999999999998,0.038873012632301994,35
44,0.024414587020874023,0.004213654978354683,0.008628940582275391,0.002770075540588212,MinMaxScaler(),SimpleImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,multinomial,31,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 31, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9666666666666667,1.0,0.9333333333333333,0.9,1.0,0.9600000000000002,0.038873012632301994,18
45,0.03276171684265137,0.009085839652214156,0.010089349746704102,0.005047556854972648,StandardScaler(),SimpleImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,multinomial,41,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9733333333333334,0.03265986323710903,1
46,0.04728775024414063,0.010785600036815397,0.01084914207458496,0.004558916792964884,MinMaxScaler(),SimpleImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,multinomial,36,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 36, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9666666666666668,0.029814239699997188,12
47,0.03146142959594726,0.0025600393071368173,0.006995248794555664,0.0012224038707550238,StandardScaler(),SimpleImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,ovr,26,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 26, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9,1.0,0.9533333333333334,0.03399346342395189,25
48,0.045564889907836914,0.004877216060473302,0.009875202178955078,0.004695773376423099,MinMaxScaler(),KNNImputer(),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,multinomial,41,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9666666666666667,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9666666666666668,0.029814239699997188,12
49,0.024729490280151367,0.0060550427955217215,0.006639528274536133,0.00108537827923951,MinMaxScaler(),SimpleImputer(strategy='most_frequent'),"OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999)",saga,multinomial,36,"LogisticRegression(C=16, multi_class='multinomial', solver='saga')","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 36, 'model': LogisticRegression(C=16, multi_class='multinomial', solver='saga')}",0.9666666666666667,1.0,0.9333333333333333,0.9,1.0,0.9600000000000002,0.038873012632301994,18
