"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__multi_class","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.0565409660339355,0.0220174989415409,0.0143814563751221,0.00479867009008183,"StandardScaler","KNNImputer","OneHotEncoder","saga","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,22
"2",1,0.0516226291656494,0.0150968016528148,0.0115975379943848,0.00485715905457821,"MinMaxScaler","KNNImputer","OneHotEncoder","saga","ovr",46,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 46, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",0.9,0.966666666666667,0.933333333333333,0.9,1,0.94,0.038873012632302,35
"3",2,0.0539875030517578,0.0315201210922438,0.0163838863372803,0.0121433617488987,"StandardScaler","SimpleImputer","OrdinalEncoder","saga","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",0.833333333333333,0.966666666666667,0.933333333333333,0.9,1,0.926666666666667,0.0573488351136175,46
"4",3,0.0442009925842285,0.0119800907106287,0.00928606986999512,0.00592947359702354,"StandardScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",21,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 21, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"5",4,0.039871072769165,0.0217302037890939,0.0100895881652832,0.00607912070320591,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",0.833333333333333,0.966666666666667,0.933333333333333,0.9,1,0.926666666666667,0.0573488351136175,46
"6",5,0.0302824020385742,0.00194110061067137,0.00663681030273437,0.000831070472350637,"StandardScaler","KNNImputer","OrdinalEncoder","saga","ovr",16,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 16, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,22
"7",6,0.0330173015594482,0.0075873811582431,0.0102957725524902,0.00798312559946869,"MinMaxScaler","KNNImputer","OrdinalEncoder","saga","ovr",36,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 36, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",0.9,0.966666666666667,0.933333333333333,0.9,1,0.94,0.038873012632302,35
"8",7,0.054852819442749,0.016078063717752,0.0107113838195801,0.00299564924599538,"MinMaxScaler","KNNImputer","OneHotEncoder","saga","ovr",36,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 36, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",0.9,0.966666666666667,0.933333333333333,0.9,1,0.94,0.038873012632302,35
"9",8,0.0652419090270996,0.0115151928154061,0.0146265983581543,0.00424805031982164,"StandardScaler","KNNImputer","OneHotEncoder","saga","multinomial",31,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 31, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"10",9,0.0597913265228271,0.015667791616857,0.0151597499847412,0.00432909882980752,"StandardScaler","SimpleImputer","OneHotEncoder","saga","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='saga')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,22
