"","mean_test_score","std_test_score","param_model"
"2",0.906666666666667,0.038873012632302,"KNeighborsClassifier"
"3",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"4",0.94,0.038873012632302,"KNeighborsClassifier"
"5",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"6",0.873333333333333,0.0489897948556636,"KNeighborsClassifier"
"7",0.873333333333333,0.038873012632302,"KNeighborsClassifier"
"8",0.96,0.0249443825784929,"KNeighborsClassifier"
"9",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"10",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"11",0.96,0.032659863237109,"KNeighborsClassifier"
"12",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"13",0.953333333333333,0.0266666666666667,"KNeighborsClassifier"
"14",0.96,0.032659863237109,"KNeighborsClassifier"
"15",0.873333333333333,0.038873012632302,"KNeighborsClassifier"
"16",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"17",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"18",0.873333333333333,0.0442216638714053,"KNeighborsClassifier"
"19",0.96,0.0249443825784929,"KNeighborsClassifier"
"20",0.926666666666667,0.0489897948556636,"KNeighborsClassifier"
"21",0.96,0.0249443825784929,"KNeighborsClassifier"
"22",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"23",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"24",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"25",0.886666666666667,0.0339934634239519,"KNeighborsClassifier"
"26",0.94,0.0249443825784929,"KNeighborsClassifier"
"27",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"28",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"29",0.96,0.032659863237109,"KNeighborsClassifier"
"30",0.906666666666667,0.0249443825784929,"KNeighborsClassifier"
"31",0.96,0.0249443825784929,"KNeighborsClassifier"
"32",0.96,0.032659863237109,"KNeighborsClassifier"
"33",0.94,0.038873012632302,"KNeighborsClassifier"
"34",0.94,0.038873012632302,"KNeighborsClassifier"
"35",0.96,0.0249443825784929,"KNeighborsClassifier"
"36",0.886666666666667,0.0339934634239519,"KNeighborsClassifier"
"37",0.96,0.032659863237109,"KNeighborsClassifier"
"38",0.973333333333333,0.0249443825784929,"KNeighborsClassifier"
"39",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"40",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"41",0.953333333333333,0.0339934634239519,"KNeighborsClassifier"
"42",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"43",0.96,0.032659863237109,"KNeighborsClassifier"
"44",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"45",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"46",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"47",0.926666666666667,0.0249443825784929,"KNeighborsClassifier"
"48",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"49",0.946666666666667,0.0339934634239519,"KNeighborsClassifier"
"50",0.96,0.032659863237109,"KNeighborsClassifier"
"51",0.966666666666667,0.0210818510677892,"KNeighborsClassifier"
"52",0.953333333333333,0.0339934634239519,"LogisticRegression"
"53",0.94,0.038873012632302,"LogisticRegression"
"54",0.926666666666667,0.0573488351136175,"LogisticRegression"
"55",0.973333333333333,0.032659863237109,"LogisticRegression"
"56",0.926666666666667,0.0573488351136175,"LogisticRegression"
"57",0.953333333333333,0.0339934634239519,"LogisticRegression"
"58",0.94,0.038873012632302,"LogisticRegression"
"59",0.94,0.038873012632302,"LogisticRegression"
"60",0.973333333333333,0.032659863237109,"LogisticRegression"
"61",0.953333333333333,0.0339934634239519,"LogisticRegression"
"62",0.946666666666667,0.0339934634239519,"LogisticRegression"
"63",0.96,0.038873012632302,"LogisticRegression"
"64",0.953333333333333,0.0339934634239519,"LogisticRegression"
"65",0.953333333333333,0.0339934634239519,"LogisticRegression"
"66",0.953333333333333,0.0339934634239519,"LogisticRegression"
"67",0.94,0.038873012632302,"LogisticRegression"
"68",0.96,0.038873012632302,"LogisticRegression"
"69",0.953333333333333,0.0339934634239519,"LogisticRegression"
"70",0.953333333333333,0.0339934634239519,"LogisticRegression"
"71",0.973333333333333,0.032659863237109,"LogisticRegression"
"72",0.94,0.038873012632302,"LogisticRegression"
"73",0.96,0.0249443825784929,"LogisticRegression"
"74",0.926666666666667,0.0573488351136175,"LogisticRegression"
"75",0.926666666666667,0.0573488351136175,"LogisticRegression"
"76",0.96,0.0249443825784929,"LogisticRegression"
"77",0.94,0.038873012632302,"LogisticRegression"
"78",0.953333333333333,0.0339934634239519,"LogisticRegression"
"79",0.966666666666667,0.0298142396999972,"LogisticRegression"
"80",0.953333333333333,0.0339934634239519,"LogisticRegression"
"81",0.973333333333333,0.032659863237109,"LogisticRegression"
"82",0.953333333333333,0.0339934634239519,"LogisticRegression"
"83",0.94,0.038873012632302,"LogisticRegression"
"84",0.973333333333333,0.032659863237109,"LogisticRegression"
"85",0.973333333333333,0.032659863237109,"LogisticRegression"
"86",0.966666666666667,0.0298142396999972,"LogisticRegression"
"87",0.96,0.038873012632302,"LogisticRegression"
"88",0.973333333333333,0.032659863237109,"LogisticRegression"
"89",0.94,0.038873012632302,"LogisticRegression"
"90",0.94,0.038873012632302,"LogisticRegression"
"91",0.973333333333333,0.032659863237109,"LogisticRegression"
"92",0.973333333333333,0.032659863237109,"LogisticRegression"
"93",0.946666666666667,0.0339934634239519,"LogisticRegression"
