"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__learning_rate","param_model__hidden_layer_sizes","param_model__activation","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"11",10,1.53037004470825,0.187959155893012,0.0137553691864014,0.00445448238177597,"MinMaxScaler","SimpleImputer","OneHotEncoder","adam","invscaling","(100, 100)","tanh","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (100, 100), 'model__activation': 'tanh', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,0.966666666666667,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,13
"12",11,2.83547616004944,0.354430571315449,0.0108173370361328,0.00313897875447529,"MinMaxScaler","SimpleImputer","OneHotEncoder","lbfgs","invscaling","(560, 4)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (560, 4), 'model__activation': 'logistic', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"13",12,0.302260112762451,0.211090959580764,0.00998167991638184,0.00286600160303308,"MinMaxScaler","SimpleImputer","OneHotEncoder","sgd","invscaling","(250,)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (250,), 'model__activation': 'logistic', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,47
"14",13,0.374912309646606,0.185929864496776,0.0101864814758301,0.00462740351136093,"MinMaxScaler","SimpleImputer","OrdinalEncoder","lbfgs","adaptive","(20,)","tanh","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (20,), 'model__activation': 'tanh', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,21
"15",14,0.325795412063599,0.162016943432105,0.0090083122253418,0.00232614987870987,"StandardScaler","SimpleImputer","OrdinalEncoder","lbfgs","invscaling","(250,)","relu","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (250,), 'model__activation': 'relu', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,0.966666666666667,0.953333333333333,0.0163299316185545,24
"16",15,0.462370872497559,0.0620961199237005,0.0130499839782715,0.00417082980362776,"MinMaxScaler","SimpleImputer","OneHotEncoder","sgd","adaptive","(150,)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sgd', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (150,), 'model__activation': 'identity', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.666666666666667,0.766666666666667,0.7,0.666666666666667,0.733333333333333,0.706666666666667,0.038873012632302,38
"17",16,0.623952627182007,0.0760639533575105,0.0116828918457031,0.00407792513952529,"MinMaxScaler","KNNImputer","OneHotEncoder","adam","invscaling","(200,)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (200,), 'model__activation': 'identity', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.933333333333333,0.966666666666667,0.933333333333333,0.933333333333333,1,0.953333333333333,0.0266666666666667,24
"18",17,0.255599451065063,0.106598830906852,0.0113698959350586,0.00435280286097345,"StandardScaler","KNNImputer","OrdinalEncoder","sgd","invscaling","(20,)","relu","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (20,), 'model__activation': 'relu', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.666666666666667,0.566666666666667,0.666666666666667,0.333333333333333,0.6,0.566666666666667,0.122927259430572,42
"19",18,0.635086965560913,0.0956727878395223,0.0136310577392578,0.00572514092545245,"MinMaxScaler","KNNImputer","OrdinalEncoder","sgd","adaptive","(250,)","identity","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sgd', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (250,), 'model__activation': 'identity', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.733333333333333,0.733333333333333,0.666666666666667,0.733333333333333,0.733333333333333,0.72,0.0266666666666667,37
"20",19,0.370262765884399,0.0961265761607713,0.0121347904205322,0.00322444047140523,"StandardScaler","SimpleImputer","OneHotEncoder","lbfgs","invscaling","(640, 20)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (640, 20), 'model__activation': 'identity', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"21",20,1.00357594490051,0.416610892175483,0.0154800891876221,0.00703785443432048,"StandardScaler","SimpleImputer","OneHotEncoder","lbfgs","invscaling","(100, 150)","relu","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (100, 150), 'model__activation': 'relu', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.966666666666667,0.933333333333333,0.9,0.933333333333333,1,0.946666666666667,0.0339934634239519,30
"22",21,0.571453285217285,0.296061376482713,0.0100521564483643,0.00263792591958125,"MinMaxScaler","KNNImputer","OrdinalEncoder","lbfgs","adaptive","(150,)","relu","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (150,), 'model__activation': 'relu', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",1,0.966666666666667,0.933333333333333,0.9,1,0.96,0.038873012632302,17
"23",22,0.632618761062622,0.0293056558129178,0.0104979038238525,0.0043866866297378,"StandardScaler","SimpleImputer","OrdinalEncoder","adam","invscaling","(250,)","identity","MLPClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'adam', 'model__learning_rate': 'invscaling', 'model__hidden_layer_sizes': (250,), 'model__activation': 'identity', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,13
"24",23,0.565595769882202,0.261530460562617,0.0102240562438965,0.0052638356444385,"MinMaxScaler","SimpleImputer","OrdinalEncoder","lbfgs","adaptive","(150,)","logistic","MLPClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'lbfgs', 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (150,), 'model__activation': 'logistic', 'model': MLPClassifier(activation='tanh', hidden_layer_sizes=(250,), solver='lbfgs')}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,13
