"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__weights","param_model__n_neighbors","param_model__leaf_size","param_model__algorithm","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.0236525058746338,0.00888505658801525,0.0170632839202881,0.00514592966913797,"StandardScaler","KNNImputer","OneHotEncoder","uniform",34,171,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 34, 'model__leaf_size': 171, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.866666666666667,0.933333333333333,0.866666666666667,0.9,0.966666666666667,0.906666666666667,0.038873012632302,43
"2",1,0.0150309085845947,0.00212919260764804,0.0106283187866211,0.000365667187812799,"MinMaxScaler","KNNImputer","OneHotEncoder","uniform",22,151,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 22, 'model__leaf_size': 151, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.933333333333333,0.966666666666667,0.966666666666667,0.9,1,0.953333333333333,0.0339934634239519,21
"3",2,0.0119264125823975,0.00059082219407648,0.0100967407226563,0.000691884413466343,"MinMaxScaler","KNNImputer","OrdinalEncoder","uniform",37,166,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 37, 'model__leaf_size': 166, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.9,0.933333333333333,0.966666666666667,0.9,1,0.94,0.038873012632302,37
"4",3,0.0163789749145508,0.00196927928145873,0.00754094123840332,0.000213083208830651,"StandardScaler","SimpleImputer","OrdinalEncoder","distance",22,56,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 22, 'model__leaf_size': 56, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.933333333333333,0.966666666666667,0.966666666666667,0.9,1,0.953333333333333,0.0339934634239519,21
"5",4,0.0175158977508545,0.00360828222290405,0.0153077602386475,0.00573114284678291,"StandardScaler","KNNImputer","OrdinalEncoder","uniform",49,6,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'uniform', 'model__n_neighbors': 49, 'model__leaf_size': 6, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.8,0.933333333333333,0.833333333333333,0.9,0.9,0.873333333333333,0.0489897948556636,47
"6",5,0.0199867725372314,0.00977554910241203,0.0138540744781494,0.00489335242103081,"StandardScaler","SimpleImputer","OneHotEncoder","uniform",43,176,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 43, 'model__leaf_size': 176, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.833333333333333,0.933333333333333,0.833333333333333,0.866666666666667,0.9,0.873333333333333,0.038873012632302,47
"7",6,0.023076343536377,0.00692542641546212,0.0131023406982422,0.00440250898839091,"MinMaxScaler","SimpleImputer","OneHotEncoder","distance",19,281,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 19, 'model__leaf_size': 281, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.966666666666667,0.966666666666667,0.933333333333333,0.933333333333333,1,0.96,0.0249443825784929,9
"8",7,0.0339213848114014,0.00434344866371922,0.0112775325775146,0.00314328805255133,"StandardScaler","SimpleImputer","OneHotEncoder","distance",7,301,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'distance', 'model__n_neighbors': 7, 'model__leaf_size': 301, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,1,0.966666666666667,0.0210818510677892,2
"9",8,0.0266550540924072,0.00672426351605308,0.0163434028625488,0.00784356527292427,"MinMaxScaler","SimpleImputer","OrdinalEncoder","distance",25,71,"ball_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__weights': 'distance', 'model__n_neighbors': 25, 'model__leaf_size': 71, 'model__algorithm': 'ball_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,21
"10",9,0.0262758731842041,0.00775568843774269,0.0170968532562256,0.00503278037521185,"MinMaxScaler","KNNImputer","OneHotEncoder","uniform",31,201,"kd_tree","KNeighborsClassifier","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__weights': 'uniform', 'model__n_neighbors': 31, 'model__leaf_size': 201, 'model__algorithm': 'kd_tree', 'model': KNeighborsClassifier(algorithm='kd_tree', leaf_size=341, n_neighbors=16)}",0.966666666666667,0.966666666666667,0.966666666666667,0.9,1,0.96,0.032659863237109,9
