"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__shrinking","param_model__probability","param_model__kernel","param_model__gamma","param_model__coef0","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.0394959926605225,0.0154410276137518,0.0235928535461426,0.0108471473296998,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","False","rbf","scale",1,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=11, coef0=1, gamma='auto')}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,30
"2",1,0.0626121997833252,0.0111949738115304,0.0151141166687012,0.00510518746878008,"StandardScaler","SimpleImputer","OneHotEncoder","False","True","rbf","scale",1,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=11, coef0=1, gamma='auto')}",1,0.966666666666667,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,11
"3",2,0.0385255336761475,0.0173219070168395,0.0159415721893311,0.00406424799283283,"StandardScaler","KNNImputer","OneHotEncoder","False","False","rbf","scale",1,1,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 1, 'model': SVC(C=11, coef0=1, gamma='auto')}",0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,1,0.966666666666667,0.0210818510677892,23
"4",3,0.0495779514312744,0.0148180491654447,0.0210892200469971,0.00225487831902423,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","False","rbf","scale",1,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=11, coef0=1, gamma='auto')}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,30
"5",4,0.0411438941955566,0.0162990966400333,0.0139283657073975,0.00745033146006801,"MinMaxScaler","KNNImputer","OneHotEncoder","False","False","rbf","scale",1,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=11, coef0=1, gamma='auto')}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,30
"6",5,0.0557447910308838,0.0316721934795849,0.0182897567749023,0.00966983488742003,"MinMaxScaler","SimpleImputer","OrdinalEncoder","True","True","rbf","auto",1,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 1, 'model': SVC(C=11, coef0=1, gamma='auto')}",0.933333333333333,0.966666666666667,0.966666666666667,0.933333333333333,1,0.96,0.0249443825784929,30
"7",6,0.0286242008209229,0.0126167717330775,0.0112862110137939,0.00767655301874075,"StandardScaler","SimpleImputer","OrdinalEncoder","True","True","rbf","scale",1,31,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 31, 'model': SVC(C=11, coef0=1, gamma='auto')}",1,0.966666666666667,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,11
"8",7,0.0430034637451172,0.0154768710556787,0.0205018520355225,0.00630765793736268,"MinMaxScaler","KNNImputer","OrdinalEncoder","True","False","rbf","auto",1,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=11, coef0=1, gamma='auto')}",0.966666666666667,1,0.966666666666667,0.933333333333333,1,0.973333333333333,0.0249443825784929,1
"9",8,0.0500480175018311,0.0149097082075223,0.0173920154571533,0.00757381126429461,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","True","rbf","auto",1,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=11, coef0=1, gamma='auto')}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,30
"10",9,0.0436754703521729,0.0140875528915595,0.0147846221923828,0.00525750415445664,"StandardScaler","SimpleImputer","OrdinalEncoder","False","True","rbf","scale",1,41,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=11, coef0=1, gamma='auto')}",1,0.966666666666667,0.9,0.933333333333333,1,0.96,0.038873012632302,30
